category,metric,rule,RGB,Depth,FixedMean,Rule,d_vs_BestSingle,d_vs_FixedMean,oracle_I-AUROC
MEAN,I-AUROC(max),Validity,0.6401,0.534,0.64,0.6624,0.0223,0.0225,0.9412
MEAN,I-AUROC(max),Evidence,0.6401,0.534,0.64,0.5955,-0.0446,-0.0444,0.9412
MEAN,I-AUROC(topk1%),Static,0.6862,0.5875,0.7321,0.7517,0.0655,0.0196,
MEAN,I-AUROC(topk1%),Validity,0.6862,0.5875,0.7321,0.7515,0.0653,0.0194,
MEAN,I-AUROC(topk1%),Evidence,0.6862,0.5875,0.7321,0.6652,-0.021,-0.0669,
MEAN,P-AUROC,Static,0.895,0.7542,0.9148,0.8884,-0.0066,-0.0265,
MEAN,P-AUROC,Validity,0.895,0.7542,0.9148,0.8937,-0.0013,-0.0212,
MEAN,P-AUROC,Evidence,0.895,0.7542,0.9148,0.8926,-0.0024,-0.0223,
MEAN,AUPRO,Static,0.6855,0.4918,0.7224,0.6602,-0.0253,-0.0622,
MEAN,AUPRO,Validity,0.6855,0.4918,0.7224,0.6737,-0.0118,-0.0487,
MEAN,AUPRO,Evidence,0.6855,0.4918,0.7224,0.6711,-0.0143,-0.0513,
